Date,Return
08/19/2014,0.0081
08/18/2014,0.0151
08/15/2014,-0.002
08/14/2014,-0.0002
08/13/2014,0.0214
08/12/2014,-0.0091
08/11/2014,-0.0016
08/08/2014,0.0096
08/07/2014,-0.0053
08/06/2014,0.0023
08/05/2014,-0.0141
08/04/2014,0.0125
08/01/2014,-0.0097
07/31/2014,-0.0269
07/30/2014,0.0031
07/29/2014,-0.0084
07/28/2014,0.0027
07/25/2014,-0.0073
07/24/2014,-0.0044
07/23/2014,0.0021
07/22/2014,0.0089
07/21/2014,-0.0094
07/18/2014,0.0372
07/17/2014,-0.0153
07/16/2014,-0.0036
07/15/2014,-0.0002
07/14/2014,0.0098
07/11/2014,0.0141
07/10/2014,-0.0086
07/09/2014,0.0087
07/08/2014,-0.0192
07/07/2014,-0.0042
07/03/2014,0.0041
07/02/2014,-0.0006
07/01/2014,0.0128
06/30/2014,-0.0034
06/27/2014,0.0022
06/26/2014,-0.0046
06/25/2014,0.0248
06/24/2014,-0.0006
06/23/2014,0.0154
06/20/2014,0.0026
06/19/2014,0.0028
06/18/2014,0.0191
06/17/2014,-0.0023
06/16/2014,-0.0136
06/13/2014,0.0007
06/12/2014,-0.0134
06/11/2014,-0.0031
06/10/2014,-0.0028
06/09/2014,0.0104
06/06/2014,0.0044
06/05/2014,0.017
06/04/2014,-0.0005
06/03/2014,-0.0162
06/02/2014,-0.0106
05/30/2014,-0.0003
05/29/2014,-0.0028
05/28/2014,-0.0075
05/27/2014,0.024
05/23/2014,0.014
05/22/2014,0.0114
05/21/2014,0.0173
05/20/2014,0.0017
05/19/2014,0.0158
05/16/2014,0.0013
05/15/2014,-0.0127
05/14/2014,-0.0121
05/13/2014,0.006
05/12/2014,0.0216
05/09/2014,0.0151
05/08/2014,0.002
05/07/2014,-0.0101
05/06/2014,-0.024
05/05/2014,-0.0002
05/02/2014,-0.0064
05/01/2014,0.0089
04/30/2014,-0.002
04/29/2014,0.0204
04/28/2014,0.0019
04/25/2014,-0.0171
04/24/2014,-0.0034
04/23/2014,-0.0147
04/22/2014,0.0117
04/21/2014,-0.014
04/17/2014,-0.0367
04/16/2014,0.0375
04/15/2014,0.0074
04/14/2014,0.0036
04/11/2014,-0.0191
04/10/2014,-0.0411
04/09/2014,0.0167
04/08/2014,0.0311
04/07/2014,-0.0092
04/04/2014,-0.0467
04/03/2014,0.0048
04/02/2014,-0.0003
04/01/2014,0.0183
03/31/2014,-0.0054
03/28/2014,0.0027
03/27/2014,-0.0123
03/26/2014,-0.0231
03/25/2014,0.0007
03/24/2014,-0.0212
03/21/2014,-0.0118
03/20/2014,-0.0017
03/19/2014,-0.0099
03/18/2014,0.0161
03/17/2014,0.0165
03/14/2014,-0.0137
03/13/2014,-0.0151
03/12/2014,0.0061
03/11/2014,-0.0096
03/10/2014,-0.0027
03/07/2014,-0.004
03/06/2014,0.0011
03/05/2014,0.0028
